,ID,Followers,following,sn_len,ds_len,tweet_count,retweet_count,label,reputation,AgeOfAccount,TweetPerDay
8960,1.36892364712195E+018,1598,1693,9,125,14032,2,0,0.485566697052568,4353,4.13313696612666
8961,1.36892364679053E+018,559,121,11,0,60671,31,0,0.822058823529412,467,17.8706921944035
8962,1.36892364613635E+018,5754,2086,10,114,19945,1,0,0.733928571428571,4610,5.87481590574374
8963,1.3689236460315E+018,922,0,13,99,32559,1,0,1,108,9.59027982326951
8964,1.36892364510865E+018,1566,1564,4,160,127741,2,0,0.500319488817891,4173,37.6262150220913
8965,1.36892364392173E+018,2276451,840,4,129,18099,73,0,0.99963114068426,4151,5.33107511045655
8966,1.36892364270544E+018,15129,13986,8,112,60573,86,0,0.519629057187017,1560,17.8418262150221
8967,1.36892364129193E+018,6798,222,14,112,5229,0,0,0.968376068376068,3607,1.54020618556701
8968,1.3689236410361E+018,902,1739,11,0,20513,78,0,0.341537296478607,2685,6.04212076583211
8969,1.36892364091019E+018,602,728,12,126,3214,0,0,0.452631578947368,2579,0.946686303387334
8970,1.36892363932477E+018,474,1325,15,139,3108,353,0,0.263479710950528,4506,0.915463917525773
8971,1.36892363839368E+018,833,1009,15,159,5820,5,0,0.452225841476656,3928,1.71428571428571
8972,1.36892363827198E+018,10360,5798,7,155,514525,0,0,0.641168461443248,3276,151.553755522828
8973,1.36892363756739E+018,118674,3676,15,145,206603,0,0,0.969955046996322,4541,60.8550810014728
8974,1.36892363679146E+018,351,394,11,146,82171,618,0,0.471140939597315,1372,24.2035346097202
8975,1.36892363293271E+018,876,1631,10,40,8920,2,0,0.349421619465497,3605,2.62739322533137
8976,1.36892363290738E+018,95,751,14,54,72044,164,0,0.112293144208038,2920,21.220618556701
8977,1.3689236327355E+018,481340,296,15,140,724123,0,0,0.999385427999568,4293,213.291016200295
8978,1.36892363260975E+018,18653,132,6,127,7674,1,0,0.992973116848549,4398,2.26038291605302
8979,1.36892363160303E+018,3650,4824,15,137,22470,6,0,0.430729289591692,3774,6.61855670103093
8980,1.36892363152336E+018,29,27,9,0,10819,10,0,0.517857142857143,86,3.18674521354934
8981,1.36892362993795E+018,1277,1200,12,134,4454,23,0,0.515542995559144,2722,1.3119293078056
8982,1.36892362717391E+018,4304,4998,10,150,147077,178,0,0.462696194366803,1505,43.3216494845361
8983,1.36892362657819E+018,687,2085,14,0,61287,20,0,0.247835497835498,3620,18.0521354933726
8984,1.3689236264399E+018,8098,8350,9,28,59663,0,0,0.492339494163424,2016,17.5737849779087
8985,1.36892362388979E+018,187,305,11,44,1353,2,0,0.380081300813008,1643,0.398527245949926
8986,1.36892362259779E+018,1376,5001,6,155,225676,63,0,0.215775442998275,3956,66.4730486008837
8987,1.36892362004354E+018,16608,2379,6,145,34929,93,0,0.874703744667404,4277,10.2883652430044
8988,1.36892361943536E+018,179,311,12,0,25540,7,0,0.36530612244898,1894,7.52282768777614
8989,1.36892361818966E+018,7629,1758,6,117,148203,0,0,0.812719718759987,1260,43.6533136966127
8990,1.36892361766536E+018,187,321,13,0,28990,164,0,0.368110236220472,156,8.53902798232695
8991,1.36892361732569E+018,2567,2759,8,159,241632,0,0,0.481975215921893,4379,71.1729013254787
8992,1.36892361657484E+018,73997,566,13,130,207819,0,0,0.992409103710956,3211,61.2132547864507
8993,1.36892361548439E+018,957,966,9,58,100857,945,0,0.497659906396256,1972,29.7075110456554
8994,1.36892361480906E+018,1438,281,7,95,2657,0,0,0.83653286794648,2659,0.782621502209131
8995,1.3689236141464E+018,130,6,11,163,391,0,0,0.955882352941176,2698,0.115169366715758
8996,1.36892361306847E+018,17,195,5,7,400,0,1,0.080188679245283,4321,0.117820324005891
8997,1.36892361304326E+018,5419,5920,7,156,23853,354,0,0.477908104771144,4491,7.0259204712813
8998,1.36892361200731E+018,1635,2952,9,135,2130,5,0,0.356442119032047,4024,0.62739322533137
8999,1.36892360741448E+018,18,103,10,0,2575,6041,0,0.148760330578512,1937,0.758468335787923
9000,1.36892360053169E+018,14660,1274,11,160,14023,2,0,0.920045186393875,4156,4.13048600883653
9001,1.36892360046871E+018,121,1060,10,160,15195,2,1,0.102455546147333,3475,4.47569955817379
9002,1.36892360003252E+018,9,13,8,105,2015,0,0,0.409090909090909,3320,0.593519882179676
9003,1.36892359918937E+018,14,24,11,40,7747,13,0,0.368421052631579,14,2.28188512518409
9004,1.36892359738592E+018,4062,5000,9,116,83944,170,0,0.44824542043699,3960,24.7257731958763
9005,1.36892359571662E+018,5873,4527,15,50,592239,3,0,0.564711538461538,1149,174.444477172312
9006,1.36892359272192E+018,245,641,10,43,48952,82,0,0.276523702031603,122,14.4188512518409
9007,1.36892359112806E+018,442,1,13,104,14103,3,0,0.997742663656885,113,4.1540500736377
9008,1.36892359033533E+018,1248,2601,13,71,2872,722,0,0.324240062353858,3595,0.845949926362298
9009,1.36892358833886E+018,630,10,9,16,76854,1,0,0.984375,201,22.6374079528719
9010,1.36892358757968E+018,2294,484,15,67,3180,3,0,0.825773938084953,3013,0.936671575846833
9011,1.36892358459333E+018,8591,8,12,29,7167,0,0,0.999069659262705,2203,2.11104565537555
9012,1.36892357976551E+018,3,8,15,67,4,0,1,0.272727272727273,184,0.001178203240059
9013,1.36892357845273E+018,156,654,7,146,908,1,1,0.192592592592593,3126,0.267452135493373
9014,1.36892357764334E+018,2083,2879,10,156,20143,0,0,0.419790407093914,4018,5.93313696612666
9015,1.36892357645638E+018,1635,2952,9,135,2130,3,0,0.356442119032047,4024,0.62739322533137
9016,1.36892357612074E+018,847,3350,12,160,185238,1309,0,0.201810817250417,3408,54.5620029455081
9017,1.3689235759991E+018,58,495,13,0,8495,112,0,0.104882459312839,3851,2.50220913107511
9018,1.36892357311768E+018,1295,1855,7,156,12107,10,0,0.411111111111111,2867,3.56612665684831
9019,1.36892357157418E+018,188,545,8,0,20103,0,1,0.256480218281037,1657,5.92135493372607
9020,1.36892357131822E+018,1098,2532,11,141,183894,18,0,0.302479338842975,1498,54.1661266568483
9021,1.3689235711882E+018,3017,1393,12,59,54441,164,0,0.684126984126984,2312,16.0356406480118
9022,1.36892356873469E+018,176,431,8,0,2886,148,0,0.28995057660626,3107,0.850073637702504
9023,1.36892356817685E+018,750,1933,15,160,32957,3,0,0.279537830786433,366,9.70751104565538
9024,1.36892356777839E+018,7373,285,5,86,12321,1,0,0.962784016714547,4379,3.62916053019146
9025,1.3689235677322E+018,379,351,8,9,6036,1632,0,0.519178082191781,4598,1.7779086892489
9026,1.36892356654943E+018,1635,2952,9,135,2130,2,0,0.356442119032047,4024,0.62739322533137
